

SH600226---detail report(20160225-21680808)---
No.(0)- Conditon:  destDVVALUE(10.00), duration(1)  Result:totalS2BDVVal(168.38), AvgVal(3.18),totalCount(53), sucPercent(26.42) 
index(0), percent(26.42)  count(14) 
(null) TBuyData:20141231, TSellData:0, dvSelltoBuy:-5.09, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150227, TSellData:0, dvSelltoBuy:-3.28, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150630, TSellData:0, dvSelltoBuy:-8.76, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150731, TSellData:0, dvSelltoBuy:-14.20, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150831, TSellData:0, dvSelltoBuy:-13.72, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150930, TSellData:0, dvSelltoBuy:-6.29, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160129, TSellData:0, dvSelltoBuy:-37.22, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160229, TSellData:0, dvSelltoBuy:-2.27, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160531, TSellData:0, dvSelltoBuy:-8.25, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000


SH600275---detail report(20160225-21680808)---
No.(0)- Conditon:  destDVVALUE(10.00), duration(1)  Result:totalS2BDVVal(185.45), AvgVal(3.37),totalCount(55), sucPercent(23.64) 
index(0), percent(23.64)  count(13) 
(null) TBuyData:20111130, TSellData:0, dvSelltoBuy:15.98, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120229, TSellData:0, dvSelltoBuy:17.84, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130329, TSellData:0, dvSelltoBuy:10.54, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140630, TSellData:0, dvSelltoBuy:11.83, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20141031, TSellData:0, dvSelltoBuy:22.86, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150331, TSellData:0, dvSelltoBuy:19.60, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150408, TSellData:0, dvSelltoBuy:15.01, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150529, TSellData:0, dvSelltoBuy:59.00, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20151030, TSellData:0, dvSelltoBuy:18.83, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20151130, TSellData:0, dvSelltoBuy:59.23, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160429, TSellData:0, dvSelltoBuy:20.37, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160729, TSellData:0, dvSelltoBuy:10.49, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160930, TSellData:0, dvSelltoBuy:65.85, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
index(1), percent(40.00)  count(22) 
(null) TBuyData:20120131, TSellData:0, dvSelltoBuy:0.55, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120330, TSellData:0, dvSelltoBuy:9.95, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120427, TSellData:0, dvSelltoBuy:9.12, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120503, TSellData:0, dvSelltoBuy:4.76, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20121031, TSellData:0, dvSelltoBuy:0.17, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20121231, TSellData:0, dvSelltoBuy:4.23, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130131, TSellData:0, dvSelltoBuy:8.69, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130228, TSellData:0, dvSelltoBuy:2.84, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130531, TSellData:0, dvSelltoBuy:0.00, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130830, TSellData:0, dvSelltoBuy:2.51, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130930, TSellData:0, dvSelltoBuy:2.97, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20131127, TSellData:0, dvSelltoBuy:-0.55, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140228, TSellData:0, dvSelltoBuy:3.10, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140331, TSellData:0, dvSelltoBuy:1.26, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140530, TSellData:0, dvSelltoBuy:2.39, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20141231, TSellData:0, dvSelltoBuy:2.34, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
