time:20140130, dvT0:1.06
time:20150130, dvT0:1.13
time:20160129, dvT0:0.68
SZ000681: avgDV:1.07, LastDV:1.78
time:20140130, dvT0:1.41
time:20150130, dvT0:1.18
time:20160128, dvT0:0.62
SH600740: avgDV:1.07, LastDV:0.70
time:20120131, dvT0:1.19
time:20130131, dvT0:1.08
time:20140130, dvT0:1.04
time:20150130, dvT0:0.97
SH600060: avgDV:1.07, LastDV:2.68
time:20120131, dvT0:1.22
time:20130131, dvT0:1.19
time:20140130, dvT0:0.97
time:20150130, dvT0:1.26
time:20160129, dvT0:0.71
SZ002190: avgDV:1.07, LastDV:2.09
time:20120131, dvT0:1.03
time:20130131, dvT0:1.43
time:20150130, dvT0:1.13
time:20160129, dvT0:0.68
SZ002209: avgDV:1.07, LastDV:2.49
time:20120131, dvT0:0.96
time:20130131, dvT0:1.06
time:20140130, dvT0:1.12
time:20150130, dvT0:1.12
SZ002286: avgDV:1.07, LastDV:2.22
time:20120131, dvT0:1.00
time:20130131, dvT0:1.18
time:20140130, dvT0:1.02
time:20150130, dvT0:1.07
SH600373: avgDV:1.07, LastDV:2.28
time:20120131, dvT0:1.00
time:20130131, dvT0:1.11
time:20140130, dvT0:1.26
time:20150130, dvT0:1.10
time:20160129, dvT0:0.85
SH600271: avgDV:1.07, LastDV:2.00
time:20120131, dvT0:0.96
time:20130131, dvT0:1.05
time:20140130, dvT0:1.02
time:20150130, dvT0:1.22
SH600677: avgDV:1.07, LastDV:2.16
time:20120131, dvT0:1.13
time:20130131, dvT0:1.20
time:20140130, dvT0:1.11
time:20160129, dvT0:0.82
SZ300147: avgDV:1.07, LastDV:2.26
time:20120131, dvT0:0.98
time:20130131, dvT0:1.15
time:20140130, dvT0:1.42
time:20150130, dvT0:1.18
time:20160129, dvT0:0.60
SH600237: avgDV:1.06, LastDV:1.43
time:20120131, dvT0:0.96
time:20130131, dvT0:1.02
time:20140130, dvT0:1.12
time:20150130, dvT0:1.05
time:20160129, dvT0:1.18
SZ300349: avgDV:1.06, LastDV:2.89
time:20130131, dvT0:0.96
time:20140130, dvT0:1.11
time:20150130, dvT0:1.12
SZ002040: avgDV:1.06, LastDV:2.47
time:20120131, dvT0:1.02
time:20130131, dvT0:1.03
time:20140130, dvT0:1.01
time:20150130, dvT0:1.20
SH600372: avgDV:1.06, LastDV:1.44
time:20120131, dvT0:1.01
time:20130131, dvT0:1.46
time:20140130, dvT0:1.09
time:20150130, dvT0:1.00
time:20160129, dvT0:0.74
SZ002633: avgDV:1.06, LastDV:2.98
time:20120131, dvT0:0.93
time:20130131, dvT0:1.01
time:20140124, dvT0:1.22
time:20150130, dvT0:1.08
SZ300150: avgDV:1.06, LastDV:2.15
time:20120131, dvT0:1.08
time:20130131, dvT0:1.06
time:20140130, dvT0:1.27
time:20150130, dvT0:1.13
time:20160129, dvT0:0.76
SZ002333: avgDV:1.06, LastDV:3.00
time:20120131, dvT0:1.06
time:20130131, dvT0:1.23
time:20140130, dvT0:1.07
time:20150130, dvT0:1.07
