time:20120131, dvT0:1.03, dvHigh:1.14
time:20130131, dvT0:1.43, dvHigh:1.61
time:20150130, dvT0:1.13, dvHigh:1.28
time:20160129, dvT0:0.68, dvHigh:1.03
No54 SZ002209: avgDV:1.07, avgHighDV:1.12, LastDV:2.49
time:20120131, dvT0:0.96, dvHigh:1.06
time:20130131, dvT0:1.06, dvHigh:1.07
time:20140130, dvT0:1.12, dvHigh:1.14
time:20150130, dvT0:1.12, dvHigh:1.20
No55 SZ002286: avgDV:1.07, avgHighDV:1.13, LastDV:2.22
time:20120131, dvT0:1.00, dvHigh:1.05
time:20130131, dvT0:1.18, dvHigh:1.28
time:20140130, dvT0:1.02, dvHigh:1.07
time:20150130, dvT0:1.07, dvHigh:1.10
No56 SH600373: avgDV:1.07, avgHighDV:1.16, LastDV:2.28
time:20120131, dvT0:1.00, dvHigh:1.13
time:20130131, dvT0:1.11, dvHigh:1.14
time:20140130, dvT0:1.26, dvHigh:1.36
time:20150130, dvT0:1.10, dvHigh:1.15
time:20160129, dvT0:0.85, dvHigh:1.01
No57 SH600271: avgDV:1.07, avgHighDV:1.14, LastDV:2.00
time:20120131, dvT0:0.96, dvHigh:1.04
time:20130131, dvT0:1.05, dvHigh:1.10
time:20140130, dvT0:1.02, dvHigh:1.04
time:20150130, dvT0:1.22, dvHigh:1.39
No58 SH600677: avgDV:1.07, avgHighDV:1.24, LastDV:2.16
time:20120131, dvT0:1.13, dvHigh:1.14
time:20130131, dvT0:1.20, dvHigh:1.38
time:20140130, dvT0:1.11, dvHigh:1.15
time:20160129, dvT0:0.82, dvHigh:1.30
No59 SZ300147: avgDV:1.07, avgHighDV:1.19, LastDV:2.26
time:20120131, dvT0:0.98, dvHigh:1.03
time:20130131, dvT0:1.15, dvHigh:1.22
time:20140130, dvT0:1.42, dvHigh:1.45
time:20150130, dvT0:1.18, dvHigh:1.25
time:20160129, dvT0:0.60, dvHigh:1.01
No60 SH600237: avgDV:1.06, avgHighDV:1.13, LastDV:1.43
time:20120131, dvT0:0.96, dvHigh:1.02
time:20130131, dvT0:1.02, dvHigh:1.07
time:20140130, dvT0:1.12, dvHigh:1.25
time:20150130, dvT0:1.05, dvHigh:1.11
time:20160129, dvT0:1.18, dvHigh:1.21
No61 SZ300349: avgDV:1.06, avgHighDV:1.15, LastDV:2.89
time:20130131, dvT0:0.96, dvHigh:1.11
time:20140130, dvT0:1.11, dvHigh:1.13
time:20150130, dvT0:1.12, dvHigh:1.22
No62 SZ002040: avgDV:1.06, avgHighDV:1.10, LastDV:2.47
time:20120131, dvT0:1.02, dvHigh:1.04
time:20130131, dvT0:1.03, dvHigh:1.05
time:20140130, dvT0:1.01, dvHigh:1.05
time:20150130, dvT0:1.20, dvHigh:1.27
No63 SH600372: avgDV:1.06, avgHighDV:1.17, LastDV:1.44
time:20120131, dvT0:1.01, dvHigh:1.06
time:20130131, dvT0:1.46, dvHigh:1.52
time:20140130, dvT0:1.09, dvHigh:1.11
time:20150130, dvT0:1.00, dvHigh:1.11
time:20160129, dvT0:0.74, dvHigh:1.05
No64 SZ002633: avgDV:1.06, avgHighDV:1.14, LastDV:2.98
time:20120131, dvT0:0.93, dvHigh:1.02
time:20130131, dvT0:1.01, dvHigh:1.11
time:20140124, dvT0:1.22, dvHigh:1.27
time:20150130, dvT0:1.08, dvHigh:1.15
No65 SZ300150: avgDV:1.06, avgHighDV:1.16, LastDV:2.15
time:20120131, dvT0:1.08, dvHigh:1.13
time:20130131, dvT0:1.06, dvHigh:1.12
time:20140130, dvT0:1.27, dvHigh:1.31
time:20150130, dvT0:1.13, dvHigh:1.24
time:20160129, dvT0:0.76, dvHigh:1.00
No66 SZ002333: avgDV:1.06, avgHighDV:1.13, LastDV:3.00
time:20120131, dvT0:1.06, dvHigh:1.15
time:20130131, dvT0:1.23, dvHigh:1.30
time:20140130, dvT0:1.07, dvHigh:1.08
time:20150130, dvT0:1.07, dvHigh:1.12
time:20160129, dvT0:0.87, dvHigh:1.00
No67 SH600312: avgDV:1.06, avgHighDV:1.19, LastDV:2.01
time:20120131, dvT0:0.97, dvHigh:1.12
time:20130131, dvT0:1.22, dvHigh:1.26
time:20140130, dvT0:1.15, dvHigh:1.18
time:20150130, dvT0:1.27, dvHigh:1.38
time:20160129, dvT0:0.69, dvHigh:1.01
No68 SZ002121: avgDV:1.06, avgHighDV:1.16, LastDV:2.28
time:20120131, dvT0:1.02, dvHigh:1.06
time:20130131, dvT0:1.04, dvHigh:1.10
time:20140130, dvT0:1.24, dvHigh:1.31
time:20150130, dvT0:1.25, dvHigh:1.34
time:20160129, dvT0:0.75, dvHigh:0.99
No69 SZ300355: avgDV:1.06, avgHighDV:1.09, LastDV:2.98
time:20130131, dvT0:1.17, dvHigh:1.17
time:20140130, dvT0:0.97, dvHigh:1.02
time:20150130, dvT0:1.04, dvHigh:1.10
No70 SZ000716: avgDV:1.06, avgHighDV:1.12, LastDV:2.15
time:20130131, dvT0:1.07, dvHigh:1.07
time:20140130, dvT0:1.19, dvHigh:1.27
time:20150130, dvT0:1.13, dvHigh:1.14
time:20160129, dvT0:0.85, dvHigh:1.01
No71 SZ000982: avgDV:1.06, avgHighDV:1.11, LastDV:1.46
time:20120131, dvT0:1.05, dvHigh:1.09
time:20130131, dvT0:1.15, dvHigh:1.21
time:20140130, dvT0:0.97, dvHigh:1.02
No72 SZ002473: avgDV:1.06, avgHighDV:1.12, LastDV:2.72
time:20120131, dvT0:1.06, dvHigh:1.10
time:20130131, dvT0:0.98, dvHigh:1.11
time:20140130, dvT0:1.09, dvHigh:1.12
time:20150130, dvT0:1.10, dvHigh:1.15
No73 SZ002089: avgDV:1.06, avgHighDV:1.17, LastDV:2.85
time:20120131, dvT0:0.99, dvHigh:1.04
time:20130131, dvT0:1.02, dvHigh:1.13
time:20140130, dvT0:1.36, dvHigh:1.42
time:20150130, dvT0:1.16, dvHigh:1.24
time:20160107, dvT0:0.75, dvHigh:1.01
No74 SH600021: avgDV:1.06, avgHighDV:1.19, LastDV:2.77
time:20120131, dvT0:1.04, dvHigh:1.11
time:20130131, dvT0:1.04, dvHigh:1.09
time:20140130, dvT0:0.96, dvHigh:1.06
time:20150130, dvT0:1.57, dvHigh:1.69
time:20160129, dvT0:0.66, dvHigh:1.01
No75 SH600612: avgDV:1.05, avgHighDV:1.15, LastDV:1.68
time:20120131, dvT0:1.13, dvHigh:1.18
time:20130131, dvT0:1.13, dvHigh:1.23
time:20140130, dvT0:1.08, dvHigh:1.14
time:20150130, dvT0:1.09, dvHigh:1.20
time:20160129, dvT0:0.84, dvHigh:1.01
No76 SZ002608: avgDV:1.05, avgHighDV:1.11, LastDV:1.00
time:20120131, dvT0:1.02, dvHigh:1.05
time:20130131, dvT0:1.21, dvHigh:1.31
time:20140130, dvT0:0.98, dvHigh:1.01
time:20150130, dvT0:1.01, dvHigh:1.07
No77 SZ002107: avgDV:1.05, avgHighDV:1.20, LastDV:2.67
time:20120131, dvT0:0.94, dvHigh:1.04
time:20130131, dvT0:1.07, dvHigh:1.09
time:20140130, dvT0:1.16, dvHigh:1.20
time:20150130, dvT0:1.50, dvHigh:1.72
time:20160129, dvT0:0.60, dvHigh:0.96
No78 SZ300344: avgDV:1.05, avgHighDV:1.22, LastDV:2.38
time:20130131, dvT0:1.06, dvHigh:1.31
time:20140130, dvT0:1.03, dvHigh:1.19
time:20150130, dvT0:1.07, dvHigh:1.16
No79 SZ002416: avgDV:1.05, avgHighDV:1.17, LastDV:1.22
time:20120131, dvT0:0.94, dvHigh:1.06
time:20130131, dvT0:1.17, dvHigh:1.34
time:20140130, dvT0:1.22, dvHigh:1.30
time:20150130, dvT0:1.10, dvHigh:1.16
time:20160129, dvT0:0.82, dvHigh:1.01
No80 SZ300083: avgDV:1.05, avgHighDV:1.16, LastDV:2.06
time:20120131, dvT0:0.97, dvHigh:1.01
time:20130131, dvT0:1.23, dvHigh:1.31
time:20140130, dvT0:1.14, dvHigh:1.24
time:20150130, dvT0:1.19, dvHigh:1.24
time:20160129, dvT0:0.72, dvHigh:1.00
No81 SH600857: avgDV:1.05, avgHighDV:1.15, LastDV:1.61
time:20120131, dvT0:1.24, dvHigh:1.26
time:20130131, dvT0:1.08, dvHigh:1.10
time:20140127, dvT0:1.23, dvHigh:1.24
time:20150130, dvT0:1.11, dvHigh:1.16
time:20160129, dvT0:0.60, dvHigh:1.01
No82 SZ300057: avgDV:1.05, avgHighDV:1.17, LastDV:1.80
time:20120131, dvT0:0.98, dvHigh:1.10
time:20130131, dvT0:1.47, dvHigh:1.49
time:20140130, dvT0:1.12, dvHigh:1.13
time:20150130, dvT0:1.07, dvHigh:1.10
time:20160129, dvT0:0.62, dvHigh:1.01
No83 SH600718: avgDV:1.05, avgHighDV:1.20, LastDV:1.87
time:20120131, dvT0:1.02, dvHigh:1.09
time:20130131, dvT0:1.14, dvHigh:1.18
time:20140130, dvT0:1.32, dvHigh:1.40
time:20150130, dvT0:1.18, dvHigh:1.31
time:20160129, dvT0:0.60, dvHigh:1.01
No84 SZ000409: avgDV:1.05, avgHighDV:1.17, LastDV:2.24
time:20120131, dvT0:1.07, dvHigh:1.08
time:20130131, dvT0:1.28, dvHigh:1.57
time:20140130, dvT0:0.98, dvHigh:1.03
time:20150130, dvT0:1.15, dvHigh:1.20
time:20160129, dvT0:0.77, dvHigh:1.00
No85 SZ000416: avgDV:1.05, avgHighDV:1.17, LastDV:1.49
time:20120131, dvT0:1.13, dvHigh:1.20
time:20130131, dvT0:1.06, dvHigh:1.11
time:20140130, dvT0:1.17, dvHigh:1.24
time:20150130, dvT0:1.24, dvHigh:1.32
time:20160129, dvT0:0.66, dvHigh:0.99
No86 SH600180: avgDV:1.05, avgHighDV:1.19, LastDV:2.45
time:20120131, dvT0:0.83, dvHigh:0.95
time:20130131, dvT0:1.13, dvHigh:1.20
time:20140130, dvT0:1.39, dvHigh:1.43
time:20150130, dvT0:1.26, dvHigh:1.38
time:20160129, dvT0:0.64, dvHigh:1.00
No87 SH600893: avgDV:1.05, avgHighDV:1.17, LastDV:2.78
time:20120131, dvT0:0.99, dvHigh:1.05
time:20130122, dvT0:1.13, dvHigh:1.32
time:20140130, dvT0:1.26, dvHigh:1.27
