---summary report(20160125-20200101)---
SZ000426 TBuyData:20160808(3), pvHi2Op(1.014), TSellData:20160810(2), dvSelltoBuy:6.00
SZ000592 TBuyData:20160802(2), pvHi2Op(1.033), TSellData:20160803(1), dvSelltoBuy:6.00
SZ000627 TBuyData:20160315(3), pvHi2Op(1.029), TSellData:20160318(3), dvSelltoBuy:6.00
SZ000676 TBuyData:20160520(3), pvHi2Op(1.015), TSellData:20160523(1), dvSelltoBuy:6.00
SZ000885 TBuyData:20160503(3), pvHi2Op(1.037), TSellData:20160505(2), dvSelltoBuy:6.00
SZ000925 TBuyData:20160614(3), pvHi2Op(1.024), TSellData:20160615(1), dvSelltoBuy:6.00
SZ000960 TBuyData:20160414(1), pvHi2Op(0.000), TSellData:20160415(1), dvSelltoBuy:6.00
SZ000971 TBuyData:20160622(2), pvHi2Op(1.006), TSellData:20160623(1), dvSelltoBuy:6.00
SZ002049 TBuyData:20160617(2), pvHi2Op(1.022), TSellData:20160620(1), dvSelltoBuy:6.00
SZ300032 TBuyData:20160712(4), pvHi2Op(1.015), TSellData:20160714(2), dvSelltoBuy:6.00
SZ300135 TBuyData:20160426(3), pvHi2Op(1.012), TSellData:20160427(1), dvSelltoBuy:6.00
index(1), percent(21.21)  count(14) 
SH600094 TBuyData:20160308(4), pvHi2Op(1.027), TSellData:20160311(3), dvSelltoBuy:-0.46
SH600121 TBuyData:20160425(3), pvHi2Op(1.044), TSellData:20160428(3), dvSelltoBuy:-0.30
SH600217 TBuyData:20160314(1), pvHi2Op(0.000), TSellData:20160317(3), dvSelltoBuy:-0.36
SH600295 TBuyData:20160310(3), pvHi2Op(1.009), TSellData:20160315(3), dvSelltoBuy:-1.28
SH600353 TBuyData:20160401(2), pvHi2Op(1.004), TSellData:20160407(3), dvSelltoBuy:-0.27
SH600432 TBuyData:20160418(3), pvHi2Op(1.000), TSellData:20160421(3), dvSelltoBuy:0.02
SH600715 TBuyData:20160613(3), pvHi2Op(1.000), TSellData:20160616(3), dvSelltoBuy:-0.90
